Dr. Azman bin Ahmad	S001
Assoc. Prof. Dr. Siti Hajar binti Yusoff	S002
Prof. Dr. Ahmad Fauzi bin Mohamed	S003
Dr. Noraziah binti Ali	S004
Dr. Mohd Nizam bin Osman	S005
Assoc. Prof. Dr. Rodziah binti Atan	S006
Dr. Haryani binti Haron	S007
Prof. Madya Dr. Zarinah binti Mohd Kasirun	S008
Dr. Safiah binti Sidek	S009
Dr. Salama binti Sulaiman	S010
Dr. Abdullah bin Mohd Zin	S011
Assoc. Prof. Dr. Noor Azah binti Samsudin	S012
Dr. Aziz bin Deraman	S013
Prof. Dr. Mohd Shahizan bin Othman	S014
Dr. Nur Azmina binti Ismail	S015
Dr. Norshuhani binti Zamin	S016
Dr. Shahida binti Sulaiman	S017
Assoc. Prof. Dr. Raja Jamilah binti Raja Yusof	S018
Dr. Zulkifli bin Mohamed	S019
Dr. Nurulhuda binti Firdaus Mohd Azmi	S020
